"","n","S","S.hat.norm","Bias.norm","LL.norm","UL.norm","coverage.norm","LL.prob.norm","UL.prob.norm","S.hat.t","Bias.t","LL.t","UL.t","coverage.t","LL.prob.t","UL.prob.t","S.hat.robust","Bias.robust","LL.robust","UL.robust","coverage.robust","LL.prob.robust","UL.prob.robust"
"1",50,0,0.00526227056453308,0.0933110458647783,0.00208811248401485,0.363568803885427,0.974,0.026,0,0.00771596284458759,0.11142143719695,0.00217856318249917,0.316552801096407,0.974,0.026,0,0.00786111733520776,0.110578566712849,0.00249505042333246,0.315178114312492,0.976,0.024,0
"2",100,0,0.00288623653136591,0.0721203564204547,0.00134518325430289,0.259419408351747,0.975,0.025,0,0.00354304130735139,0.0791647061506684,0.001611764071122,0.226024888869991,0.976,0.024,0,0.0036807354364559,0.0795070495053682,0.00180409107147957,0.226395605097413,0.973,0.027,0
"3",150,0,0.0024241755273502,0.0651728707609147,0.00140534823211418,0.214694217219345,0.97,0.03,0,0.00259462279734551,0.0672487209741349,0.00141581762677146,0.187265472375115,0.971,0.029,0,0.00256676786815289,0.0671327327528242,0.00121327020804444,0.187121819595388,0.975,0.025,0
"4",250,0,0.0012301597291668,0.0483978141579354,0.000851387487467996,0.166863010984786,0.979,0.021,0,0.00140611911068241,0.0518504849958888,0.000807815453703389,0.145344145227511,0.978,0.022,0,0.00141901784815871,0.0517071459165716,0.000857927630880599,0.145195654177179,0.976,0.024,0
"5",500,0,0.000742224305724173,0.0368912346063988,0.000498440603199874,0.116758802351241,0.978,0.022,0,0.000699445821577617,0.0357876973708766,0.000474844997292413,0.101485584046005,0.978,0.022,0,0.000699293392963175,0.0357773072835818,0.000481820853242741,0.101466031459539,0.978,0.022,0
"6",50,0.1,0.0148506005756339,0.0660948132184853,0.00564505369603699,0.396010592200544,0.956,0.022,0.022,0.0103943830277573,0.0364140213074287,0.0060097930662915,0.353067783337842,0.926,0.027,0.047,0.0105499955451045,0.03486098077987,0.00628827004886041,0.351064934191583,0.93,0.026,0.044
"7",100,0.1,0.00660114700901847,0.0146912841624287,0.00733249438302873,0.296404976124081,0.95,0.02,0.03,0.00637525922384684,0.0116278569018663,0.00733577082257749,0.266952762493242,0.918,0.024,0.058,0.00644608185472593,0.0108377165381208,0.0074752016218724,0.265987129227773,0.921,0.025,0.054
"8",150,0.1,0.00469917770542995,0.00786533480333737,0.00891273906896031,0.260730129193664,0.948,0.02,0.032,0.00473310779241773,0.00768477492583219,0.00880150063413514,0.237810324127976,0.916,0.027,0.057,0.0048298456118713,0.00759668630304304,0.00903558428954548,0.237646477970341,0.921,0.021,0.058
"9",250,0.1,0.00337239040528991,0.00191438576287675,0.0161838633684851,0.227271033413684,0.949,0.025,0.026,0.00374422456862217,0.00671247347136,0.016366230991792,0.213358894188233,0.912,0.032,0.056,0.00390122076598535,0.00746643498959503,0.0171512523940845,0.214156768414466,0.918,0.029,0.053
"10",500,0.1,0.00184905290851762,0.00135260849890402,0.024255971619737,0.18930133587864,0.955,0.027,0.018,0.001897420186346,0.00229999633656094,0.024367464809284,0.1828561700912,0.93,0.03,0.04,0.00191651053748482,0.00242893495731735,0.0244904478699983,0.182912160161876,0.931,0.029,0.04
"11",50,0.2,0.0177416258497717,0.0178463432608086,0.0247583018739241,0.479124331489976,0.947,0.027,0.026,0.0174367953765122,0.0124203593016517,0.0228210140109452,0.446091171457641,0.921,0.028,0.051,0.0188221626788087,0.0135559223947712,0.0252819635501307,0.447269696324637,0.917,0.034,0.049
"12",100,0.2,0.00939670531676547,-0.00235546912978272,0.0345529718894786,0.38580734952871,0.96,0.014,0.026,0.00933126755388885,-0.00580883073184226,0.0341699150759576,0.369569527905131,0.928,0.012,0.06,0.00969400480327955,-0.00655154550201844,0.0339824918454282,0.367840077618907,0.921,0.016,0.063
"13",150,0.2,0.00608919411778635,-0.000523471590456709,0.0598259015448758,0.367321739945283,0.944,0.034,0.022,0.00679327692038789,0.00851777653141221,0.0583294464011579,0.359799337413739,0.925,0.034,0.041,0.00710227217292656,0.0084758117840789,0.0584588240413355,0.359572179958047,0.92,0.038,0.042
"14",250,0.2,0.0048880402983906,-0.00138087835262194,0.0622782744958728,0.305023396010845,0.939,0.015,0.046,0.00421381592819343,-0.0177633846260191,0.0620862094401854,0.301565247404433,0.887,0.017,0.096,0.00438348928442961,-0.0178299639046775,0.062106426042927,0.301302694488374,0.886,0.021,0.093
"15",500,0.2,0.001882934563921,-0.00132178600209752,0.115494149472522,0.29083843039926,0.953,0.034,0.013,0.00203363291846561,0.00360996493181398,0.114871754657441,0.292026074973627,0.951,0.037,0.012,0.00209428448212409,0.00356766532224239,0.114836265165255,0.291984717599232,0.943,0.04,0.017
"16",50,0.3,0.0174852933375703,-0.000919745969867307,0.0726119823137347,0.590611967224785,0.947,0.034,0.019,0.0209664151796372,0.0176724810108537,0.0666634790483504,0.574559392203345,0.928,0.031,0.041,0.0229157397597847,0.0165103412205843,0.0681880440344947,0.572754532506074,0.915,0.042,0.043
"17",100,0.3,0.00837156785873392,-0.00156795591845911,0.132934855905434,0.521110906962042,0.943,0.042,0.015,0.0112059300765381,0.0278844801680454,0.128970362785867,0.52342087163723,0.918,0.051,0.031,0.0121721127999082,0.0270996985578087,0.12826748053644,0.522631851964277,0.915,0.052,0.033
"18",150,0.3,0.0061160540714439,0.000626593283269485,0.158739086363899,0.478569460860471,0.945,0.042,0.013,0.00701975023168562,0.0191992232852672,0.154622163565322,0.481683379905176,0.927,0.04,0.033,0.00792172101371117,0.0200108627628171,0.15547203331849,0.482443715334197,0.917,0.049,0.034
"19",250,0.3,0.00345066925333618,-0.000358696059625396,0.192329563246622,0.44030375282836,0.945,0.045,0.01,0.00410452882517727,0.0169769981360067,0.189452758304172,0.443756712904488,0.946,0.044,0.01,0.00440940986810548,0.0176329283003265,0.190098712094311,0.444453479328587,0.938,0.051,0.011
"20",500,0.3,0.00190176418456875,0.00165017480343497,0.213585107787268,0.388889536811493,0.96,0.02,0.02,0.00206500964283431,0.00144248759206998,0.211631223867734,0.390964689404518,0.955,0.026,0.019,0.00219425108279682,0.00136165336690395,0.211548668884702,0.390885510539089,0.95,0.031,0.019
"21",50,0.4,0.0190627040657925,-0.00137811614871454,0.140553985292074,0.683687374486957,0.949,0.029,0.022,0.0216376530297251,0.0119824298745307,0.130977830141035,0.686541526897401,0.935,0.02,0.045,0.0249080639418747,0.00918570998489492,0.130248211773757,0.682775004779635,0.914,0.033,0.053
"22",100,0.4,0.00990177868658532,-0.00130545306416097,0.205512959697329,0.597169380090181,0.945,0.027,0.028,0.0112091899273597,0.00571780328099471,0.200836039750903,0.607896185072457,0.93,0.028,0.042,0.0127373673657193,0.00699856051893945,0.201897077211755,0.609003394748237,0.912,0.037,0.051
"23",150,0.4,0.00575329126612467,6.69543940921831e-05,0.256491258467501,0.576551868765669,0.949,0.04,0.011,0.00690410249308718,0.0174613242885056,0.249671835771308,0.583902517474209,0.956,0.036,0.008,0.0080871058351939,0.0192794809668807,0.251398597078461,0.585843942162086,0.939,0.05,0.011
"24",250,0.4,0.00371262174502328,0.00244641343191291,0.287619713006285,0.535537451057775,0.95,0.039,0.011,0.00419530585547383,0.0123846023653465,0.282751705214186,0.541255344201126,0.956,0.034,0.01,0.00484774139764553,0.0120226203832622,0.282381614235606,0.540902642837584,0.928,0.05,0.022
"25",500,0.4,0.00187980204993177,-0.000840237858078565,0.316616045726781,0.491920451840135,0.956,0.028,0.016,0.00214317685814547,0.00534116119579369,0.313924802206544,0.496381682000383,0.949,0.032,0.019,0.00251376402780632,0.00414237590215682,0.312739871455228,0.495170160914283,0.934,0.042,0.024
"26",50,0.5,0.0214952970176788,0.00116724121177107,0.208975318996145,0.761179430248879,0.957,0.017,0.026,0.0226402357268326,-0.00933723933799089,0.196084133985696,0.777331222068469,0.926,0.02,0.054,0.0290439926284513,-0.00814331576546299,0.197389559988916,0.777826841823974,0.894,0.041,0.065
"27",100,0.5,0.00761860912813461,-0.000543888055960519,0.376849164419717,0.768844358253389,0.888,0.108,0.004,0.011876550105438,0.0763085891812463,0.36283722881831,0.787287973917191,0.899,0.096,0.005,0.0164794278779519,0.0778789460090048,0.364161512963943,0.789117072869189,0.877,0.12,0.003
"28",150,0.5,0.00663843178426882,0.00119758732429861,0.3444764647434,0.664536978383741,0.95,0.033,0.017,0.00753094614556736,0.00692508613352558,0.335873709790447,0.676473722355626,0.953,0.029,0.018,0.0101224617780037,0.0105444794034891,0.339266988834662,0.680314470371265,0.914,0.057,0.029
"29",250,0.5,0.00466298279328862,0.00189447403260554,0.350151392123633,0.598069235077002,0.927,0.011,0.062,0.00465575899886563,-0.0235542771460045,0.345068756151665,0.606963653773739,0.927,0.011,0.062,0.00550118578768591,-0.0232330940877366,0.345359177419973,0.607315930269473,0.909,0.017,0.074
"30",500,0.5,0.00183721526537909,0.000297356525441054,0.422517966967914,0.597822455236679,0.95,0.04,0.01,0.00214358548828254,0.011065923575486,0.417591293045331,0.604085782025089,0.948,0.038,0.014,0.00269715590927303,0.0105472906177484,0.417073863817684,0.603566573161513,0.926,0.055,0.019
"31",50,0.6,0.0200506246083998,-0.00504093604372867,0.332270007941529,0.886871196625273,0.953,0.024,0.023,0.0270406764219189,0.0232787532488652,0.315612349885639,0.923795536163665,0.928,0.037,0.035,0.0325356107648795,0.0203799663999706,0.312908557630104,0.920731592531034,0.908,0.052,0.04
"32",100,0.6,0.0101935210702359,-0.000281009582596681,0.385550198640328,0.777543310063005,0.949,0.02,0.031,0.0115576940796925,-0.013469330172089,0.372526500517848,0.798020289269153,0.954,0.018,0.028,0.0163937824062788,-0.0142214612249323,0.37164046141625,0.797414585368497,0.906,0.041,0.053
"33",150,0.6,0.00706478866894332,-0.00174591862516271,0.41103212207819,0.731092657900427,0.949,0.007,0.044,0.00752035938676418,-0.0256885172806944,0.40046187739369,0.74650815236808,0.948,0.007,0.045,0.00994053093612926,-0.0237426757159376,0.402249904331083,0.748611586541852,0.906,0.031,0.063
"34",250,0.6,0.00382760982246776,0.00246370531685976,0.475037522662252,0.722955372157287,0.949,0.024,0.027,0.00472305819273461,0.000877544510832591,0.465535598860753,0.735193708186072,0.946,0.021,0.033,0.00684928590091031,0.000435951782581942,0.465059476301998,0.734789242902475,0.889,0.052,0.059
"35",500,0.6,0.00220524027592956,0.000975118609764307,0.509433787699292,0.684738235232973,0.949,0.022,0.029,0.00260947738808129,-0.00275871829827703,0.50178226101075,0.692189269303626,0.931,0.029,0.04,0.00333595908320852,-0.00290895447898293,0.501623488448681,0.692048017390174,0.913,0.042,0.045
"36",50,0.7,0.0152457212976836,-0.00235202164546778,0.50238408674536,1.05674986291167,0.909,0.085,0.006,0.0248720571258092,0.0870274472444106,0.465052659771669,1.10291982795268,0.945,0.05,0.005,0.0397854547110557,0.0884773127902557,0.465726935478738,1.10514178191325,0.884,0.102,0.014
"37",100,0.7,0.0111133566621749,-0.00022071814362099,0.461511851766609,0.853504246110893,0.931,0.007,0.062,0.0122216071879601,-0.0390529190993409,0.442647422813173,0.876515623688954,0.936,0.011,0.053,0.0161503475239928,-0.0380250785173953,0.443479595269445,0.877745456492663,0.9,0.023,0.077
"38",150,0.7,0.00557397330108332,-0.000801421797481383,0.580316290823951,0.900376925796739,0.925,0.068,0.007,0.00810536658239698,0.0423372356077358,0.560295448063635,0.922416061722008,0.942,0.05,0.008,0.0122146982184451,0.0426705114794394,0.560501257085332,0.922882499680174,0.89,0.09,0.02
"39",250,0.7,0.00413414632941379,-0.00271384634196752,0.561925133399232,0.809843146695769,0.941,0.016,0.043,0.00481550186474845,-0.0132028769950459,0.548284257174869,0.824186576419626,0.942,0.016,0.042,0.00662555455739757,-0.0146383575414153,0.546864689390727,0.822738406875031,0.9,0.022,0.078
"40",500,0.7,0.00203223815603965,-0.0012215874806593,0.604895238152835,0.780199651635459,0.948,0.018,0.034,0.00241887344583445,-0.00639274772215493,0.5956450631395,0.791003692034218,0.952,0.019,0.029,0.00318552389763035,-0.00833304905966286,0.593746166900052,0.789023360704206,0.914,0.028,0.058
"41",50,0.8,0.0199301304962337,0.00851761622052916,0.524813376192841,1.07918122080565,0.954,0.027,0.019,0.0277511151647522,0.0168690040332351,0.491835733805544,1.13572170521235,0.955,0.026,0.019,0.0378374905781402,0.0162259001753618,0.490844159836081,1.13546903558861,0.916,0.05,0.034
"42",100,0.8,0.00973328674943031,-5.85312485429762e-05,0.584731639599742,0.976724125204112,0.953,0.015,0.032,0.0124630145814071,-0.0143370392436866,0.559327280746607,1.00895991230503,0.959,0.01,0.031,0.0202334003661496,-0.0147444903241712,0.558712388889187,1.00877719442481,0.899,0.038,0.063
"43",150,0.8,0.00786032430279192,-0.000486830628124727,0.565288237438701,0.885348780263936,0.845,0.006,0.149,0.00849550981494066,-0.0719459782791805,0.546760966098107,0.907407589628993,0.87,0.007,0.123,0.0122757767603069,-0.0695033547161343,0.548974146785221,0.910081380835586,0.815,0.019,0.166
"44",250,0.8,0.00468983060552312,-0.000605352891161167,0.629718819321016,0.877636830861432,0.885,0.002,0.113,0.00542133170700294,-0.0446947671033052,0.614017621742954,0.895402137267189,0.882,0.005,0.113,0.00790961598113834,-0.0443036906846386,0.614341444587921,0.895862342760918,0.83,0.023,0.147
"45",500,0.8,0.00197219554831603,-0.00111937250565463,0.70931533353246,0.884619831810921,0.951,0.023,0.026,0.00254552037076458,-0.00165912903895911,0.697324224189864,0.898742404171242,0.954,0.023,0.023,0.00351095966443837,-0.00213708968330735,0.696847316401758,0.898264016121681,0.918,0.044,0.038
"46",50,0.9,0.028881528515372,-0.0043599270623297,0.467983420413775,1.02245048882975,0.821,0.001,0.178,0.0256326981827493,-0.145528616042768,0.435499536733903,1.0671887343496,0.839,0.002,0.159,0.0313435475831695,-0.147705665071268,0.433375625673969,1.06517364378377,0.786,0.008,0.206
"47",100,0.9,0.00979878053030565,6.80608241491141e-05,0.738637879849153,1.13063043784936,0.929,0.058,0.013,0.0158581948463729,0.043330760889864,0.705353108076628,1.17798474091159,0.94,0.049,0.011,0.0229416126613146,0.0425681838684499,0.704462914682852,1.17736374916029,0.89,0.081,0.029
"48",150,0.9,0.00876882091290145,0.00225323541906878,0.628665925305721,0.948726567691363,0.716,0,0.284,0.00897437628489528,-0.110463587111855,0.604892226744002,0.972147418065797,0.76,0.003,0.237,0.0128780564962728,-0.108565802934247,0.606585093153595,0.974253021603417,0.712,0.009,0.279
"49",250,0.9,0.0035917235958401,0.000260028235673355,0.813809088039389,1.06172688962054,0.908,0.09,0.002,0.00553764001598238,0.0384063292381336,0.788807519266006,1.08667388483357,0.937,0.058,0.005,0.00894551450488773,0.0356888197052512,0.786162578338193,1.08388809108391,0.864,0.105,0.031
"50",500,0.9,0.00209945220326729,-0.000676599381746202,0.800960758208004,0.976265297208305,0.947,0.008,0.045,0.00280855280930589,-0.0113577823853991,0.784737847264641,0.991896771158132,0.933,0.016,0.051,0.00414361947326618,-0.0121597786830334,0.783944882310954,0.99108656398266,0.877,0.041,0.082
